Tick,Healthy,Sick,Recovered
736,820,581,99
737,820,581,99
738,819,582,99
739,819,582,99
740,816,585,99
741,815,585,100
742,815,584,101
743,814,585,101
744,812,587,101
745,811,587,102
746,809,589,102
747,806,591,103
748,806,590,104
749,805,591,104
750,803,592,105
751,801,594,105
752,801,594,105
753,799,596,105
754,796,598,106
755,795,598,107
756,793,600,107
757,791,602,107
758,791,600,109
759,788,600,112
760,787,599,114
761,784,601,115
762,783,601,116
763,783,601,116
764,781,603,116
765,779,604,117
766,777,606,117
767,775,608,117
768,772,608,120
769,772,608,120
770,770,609,121
771,768,611,121
772,766,613,121
773,763,615,122
774,758,620,122
775,757,619,124
776,754,620,126
777,753,618,129
778,749,622,129
779,747,624,129
780,746,625,129
781,745,626,129
782,741,628,131
783,737,631,132
784,733,635,132
785,731,636,133
786,730,636,134
787,728,636,136
788,725,639,136
789,724,640,136
790,723,639,138
791,722,639,139
792,719,640,141
793,719,636,145
794,717,638,145
795,714,639,147
796,711,641,148
797,709,642,149
798,705,645,150
799,704,645,151
800,702,646,152
801,698,649,153
802,696,651,153
803,693,652,155
804,688,657,155
805,686,658,156
806,681,662,157
807,681,662,157
808,679,664,157
809,676,667,157
810,676,667,157
811,675,666,159
812,673,667,160
813,672,668,160
814,670,670,160
815,667,671,162
816,666,670,164
817,659,672,169
818,658,671,171
819,657,672,171
820,656,672,172
821,655,672,173
822,654,671,175
823,653,670,177
824,651,670,179
825,651,670,179
826,648,673,179
827,646,675,179
828,644,676,180
829,643,674,183
830,641,675,184
831,641,675,184
832,641,674,185
833,641,674,185
834,639,675,186
835,638,675,187
836,636,674,190
837,635,675,190
838,635,674,191
839,634,675,191
840,634,675,191
841,634,675,191
842,632,677,191
843,629,678,193
844,629,676,195
845,626,679,195
846,624,681,195
847,623,681,196
848,621,682,197
849,619,682,199
850,617,683,200
851,615,684,201
852,611,687,202
853,609,689,202
854,608,689,203
855,603,693,204
856,602,693,205
857,602,693,205
858,599,694,207
859,594,698,208
860,589,703,208
861,588,702,210
862,585,704,211
863,584,705,211
864,584,704,212
865,581,707,212
866,581,706,213
867,580,704,216
868,579,702,219
869,579,702,219
870,579,701,220
871,577,703,220
872,577,702,221
873,576,702,222
874,571,707,222
875,567,709,224
876,565,711,224
877,562,714,224
878,561,714,225
879,560,714,226
880,557,715,228
881,557,714,229
882,556,713,231
883,555,714,231
884,555,713,232
885,554,714,232
886,553,715,232
887,552,714,234
888,549,715,236
889,549,715,236
890,549,714,237
891,548,713,239
892,548,712,240
893,548,712,240
894,545,715,240
895,543,715,242
896,541,716,243
897,537,720,243
898,535,722,243
899,534,723,243
900,532,723,245
901,532,721,247
902,532,720,248
903,531,721,248
904,529,722,249
905,527,724,249
906,525,725,250
907,523,726,251
908,523,725,252
909,522,724,254
910,521,724,255
911,519,723,258
912,518,722,260
913,518,722,260
914,518,722,260
915,518,718,264
916,518,718,264
917,517,719,264
918,515,720,265
919,514,720,266
920,514,719,267
921,512,721,267
922,510,723,267
923,507,724,269
924,507,723,270
925,507,722,271
926,506,722,272
927,505,721,274
928,503,722,275
929,502,723,275
930,501,723,276
931,499,724,277
932,495,727,278
933,492,729,279
934,491,729,280
935,490,730,280
936,488,732,280
937,484,733,283
938,480,737,283
939,476,739,285
940,474,740,286
941,472,741,287
942,471,742,287
943,468,745,287
944,467,743,290
945,467,743,290
946,463,746,291
947,462,747,291
948,459,748,293
949,459,745,296
950,457,746,297
951,456,746,298
952,454,746,300
953,452,747,301
954,448,751,301
955,447,752,301
956,446,749,305
957,445,748,307
958,445,746,309
959,445,744,311
960,443,746,311
961,442,745,313
962,442,745,313
963,440,746,314
964,437,747,316
965,436,748,316
966,435,748,317
967,435,748,317
968,432,750,318
969,431,749,320
970,429,748,323
971,429,746,325
972,427,748,325
973,425,749,326
974,425,747,328
975,423,748,329
976,421,749,330
977,420,748,332
